line,folktale.ID,transcription,gloss,english,japanese,,
2.165,K7708242UP,"sorekusu kasi ta seta utar arukoterke eukaopiwki kor okay pe ne a p,",exactly top-POSS at dog PL completely-REC-to.APPL-jump about.APPL-REC-top-help? and exist.PL NMLZ COP PERF.SG but,and many dogs attacked that red dog,その⾚⽝の上に他の⽝たちがいっせいにとびかかっていました。,,
2.166,K7708242UP,"konto eun arpa wa isam hi ka a= erampewtek ne awa,",then there.at/to go.SG and not.exist NMLZ even 4.A= not.know COP while,"I don’t know where the dog went, but he disappeared",すると、その後どこへ⾏ったかわからなくなってしまっていたのですが、,,
2.167,K7708242UP,ne wen kamuy ne hawe ne nankor *tak,this/that be.bad god COP REP.EV COP probably -- --,It was just bad Kamui,そういう悪いカムイだったということですね。,,
2.168,K7708242UP,"hetak e= suke wa ipe =an ciki,",hurry.up 2.SG.S= cook and eat =4.S if,Make dinner and we’ll eat it,さあ、料理をして⾷事をしましょう。,,
2.169,K7708242UP,ora ipe =an ciki oraun e p or surku e= omare wa e= anu yak pirka na,then eat =4.S if then eat thing/person palce aconite.poison 2SG.A= enter-CAUS and 2.SG.A= exist-TR.SG if be.good SGST,"When we finish eating, put poison in his food",⾷事を終えたなら、彼の⾷べる物に毒を⼊れておきなさい。,,
2.170.,K7708242UP,ora iwak ciki iteki,then return if PROH --,"When he comes home (don’t…),",彼が戻ってきたら、,,
2.171,K7708242UP,hokure hokure e= ipere hokure hokure ipe kunak e= ye kor ki yak pirka na,quickly quickly 2SG.A= eat-CAUS quickly quicklu eat going/expected/should.COMP 2SG.A= say/tell and do if be.good SGST,tell him that you will feed him quickly and that he should eat quickly,彼に早く⾷べるように⾔って⾷事をさせなさい。,,
2.172,K7708242UP,ora toma tuna corpok ta i= ka seske wa anu,then straw.matting shelf under at 4.O= top close/cover and exist-TR.SG -- 2.SG.A= exist-TR.SG if be.good SGST,Hide me under the goza shelf,そして、ゴザ棚の下に私を隠しておいてください。,,
2.173,K7708242UP,sironuman wa nen ka ossike arka h_ene ki yakun oro ta a= eraman nankor kusu,appearance-evening and who even inside hurt for.example do if/then place-POSS at 4.A= know probably because,"When dusk comes and that someone gets a stomachache I will know,",⼣⽅になって、誰かが腹痛でも起こしたら私にもわかるでしょうから、,,
2.174,K7708242UP,nen ka ne ciki ape e= ruyruyka p ne na,what even COP if fire 2.SG.A= be.violent-be.violent-CAUS NMLZ COP SGST,"so do what you can to make a big fire.”,",どうにかして⽕をうんと燃やしなさい」,,
2.175,K7708242UP,"sekor kane nea okkaypo hawean kor ipe hine,",QUOT somewhat that man-DIM voice-POSS exist.SG and eat and,said the young man and finished his dinner,その若者はそう⾔うと、⾷事をした。,,
2.176,K7708242UP,ora toma tuna corpok ta kasi a= seske hine an =an,then straw.matting shelf under at top-POSS 4.A= close/cover and exist.SG =4.S,I hid him under the goza shelf,そこで私は彼をゴザ棚の下に隠しておいた。,,
2.177,K7708242UP,"rapokke iwak moyre, tanto or_ ta ki,",during-place return be.late this-day place at do,[The red dog man] was late coming home that day,⼀⽅、⾚⽝の男のほうは、今⽇は帰りが遅かった。,,
2.178,K7708242UP,"ipe =an pa *si. p ne kusu,",eat =4.S PL -- -- NMLZ COP because,"We have already finished the dinner, so",私たちは⾷事を済ませたので、,,
2.179,K7708242UP,"ora tanto or_ ta iwak moyre hine iwak ki kusu,",then this-day place at return be.late and return do because,"when he came home late today,",今⽇は遅くなって戻ってきたので、,,
2.180.,K7708242UP,kamuy a= yupihi mak ki hine enepo iwak moyre.,god 4.(A)= older.brother-POSS how do and like.this-DIM return be.late,"“Brother kamui, why are you so late today?",「カムイの兄さん、どうしてこんなに帰りが遅かったの？,,
2.181,K7708242UP,iperusuy =an wa hoskino ipe =an ruwe ne,eat-DESID =4.S and before-ADV eat =4.S INFR.EV COP,"I was hungry, so I ate already.""",お腹がすいたから、先に⾷事してしまったわ」,,
2.182,K7708242UP,sekor hawean =an,QUOT voice-POSS-exist.SG =4.S INFR.EV COP then,I said,と⾔った。,,
2.183,K7708242UP,"earkinne a= eyaykopuntek pekor iki =an pe ne kusu,",very 4.A= about.APPL-REFL-rejoice.about as.if APASS-do =4.S NMLZ COP because,"I was acting so happy,",わたしがとてもうれしそうにふるまっていたので、,,
2.184,K7708242UP,mina tura mono a hine ipe,laugh together.with quiet-ADV sit.SG and eat,he sat down smiling and ate his dinner,笑いながら座って、⾷事をした。,,
2.185,K7708242UP,a= koypuni hine ipe hine sine itanki tu itanki ipe kor rapokke mak a= *ye,4.A= to.APPL-APASS-raise-TR.SG and eat and one bowl two bowl eat and during-place how 4.A= say/tell --,"I served his dinner, and he ate one, two bowls of food, then,",私が⾷事を差し出すと、⼀杯、⼆杯⾷べているうちに、仕⽅なく…,,
2.186,K7708242UP,"yayunnatarare wa an h_i kusu,",REFL-fell.pain-continually-CAUS and exist.SG NMLZ because,"he began to suffer, so",ひとりで苦しみ出したので、,,
2.187,K7708242UP,kamuy a= yupi mak ki h_ine yayunnatarare ruwe an?,god 4.(A)= older.brother-POSS how do and REFL-feel.pain-continually-CAUS INFR.EV exist.SG,"“Dear brother, why are you suffering?”",「カムイの兄さん、どうして苦しんでいるの？」,,
2.188,K7708242UP,"sekor hawean =an akusu,",QUOT voice-POSS-exist.SG =4.S then,I asked,と⾔うと、,,
2.189,K7708242UP,mak ki a= ossike arka pekor humas wa ne.,how do 4.(A)= inside.POSS hurt as.if sound/feeling-stand.SG and COP,"“My stomach hurts for some reason,”",「どうしてか、お腹が痛いような感じなんだ」,,
2.190.,K7708242UP,"sekor,",QUOT,[he replied],と（⾔う）。,,
2.191,K7708242UP,nep ka pawci a= omare ka somo ki.,what even poisin 4.A= enter-CAUS even NEG do,“I didn’t put any poison in,「何も毒なんか⼊れてないわよ。,,
2.192,K7708242UP,hinta pawci a= omare,what poison 4.A= enter-CAUS,Why would I put poison in?,どんな毒を私が⼊れるっていうの。,,
2.193,K7708242UP,"tane pakno a= yupi etok un suke =an wa ipe =an pa p,",now till-ADV 4.(A)= older.brother-POSS before to/at cook =4.S and eat =4.S PL but,"Till now I’ve making dinner and eating just before you,",今まで兄さんが帰ってくる前に料理して⾷事をしていたのに、,,
2.194,K7708242UP,hnta pawci a= omare hine mak ne hine ene ne hawean h_i an,what poison 4.A= enter-CAUS and how COP and like.this COP voice-POSS-exist.SG NMLZ exist.SG,"so why do you say I’ve put poison in your dinner?”,",どんな毒を私が⼊れたっていうので、そういうことを⾔うの」,,
2.195,K7708242UP,sekor hawean =an,QUOT voice-POSS-exist.SG =4.S,I said,と、私は⾔った。,,
2.196,K7708242UP,"rapokke konto ape kohopi hokus h_ine hocikacika kor an,",during-place then fire from.APPL-leave? fall.down and bottom.PF-thrash-thrash and exist.SG,He fell away from the hearth and noisily thrashed his legs,すると、今度は炉と反対向きに倒れて、⾜をばたばたさせている。,,
2.197,K7708242UP,rapokke ape homar kor,during-place fire haze when/if,"When the hearth’s fire died down,",すると、炉の⽕がかすむと、,,
2.198,K7708242UP,poro hure seta sara a= nukar_,be.big/old red/pink dog tail-POSS 4.A= see,I could see the tail of the big red dog,⼤きな⾚い⽝のしっぽが⾒えた。,,
2.199,K7708242UP,"rapokke nea okkaypo ani kik kuni, kisma hum pirkano an, an cikuni tuye hine",during-place that man-DIM by/with hit/beat in.order grab NONVIS.EV be.good-ADV exist.SG exist.SG tree cut-TR.SG and,Then that young man cut a tree [such that] the feeling is good of grabbing it [i.e which fits his hand] in order to beat with it],そのとき、例の若者が（それ）で（⽝を）殴りつけるように、握りやすそうな⽊（棍棒）を切って,,which fits his hand] in order to beat with it
2.200.,K7708242UP,"kor wa an pe ne kus,",have and exist.SG NMLZ COP because,"Holding it,",持っていたので、,,
2.201,K7708242UP,ani esapakokikkik hine kikkik hine rayke ruwe ne,by/with with.APPL-NI.head-to.APPL-hit-hit? and hit-hit and die-CAUS INFR.EV COP,he hit the dog by its head with that and killed it,それで頭をさんざんに殴りつけて、殺してしまった。,,
2.202,K7708242UP,"kopasrota a kopasrota a sorekus,",to.APPL-swear PERF.SG to.APPL-swear PERF.SG exactly ,"He cursed the red dog and said,",さんざん⾚⽝をののしって、,,
2.203,K7708242UP,"wen kewtum kor wen_ sampe kor_ reyep anakne,",be.bad spirit have be.bad heart have crawl-thing/person TOP,“You dog with a bad spirit and bad heart,「悪い精神を持った、悪い⼼を持った⽝め。,,
2.204,K7708242UP,"reyep sekor a= ye p anakne sorekusu kamuy oyakata pase p ne ya ka ya ka a= ye p,",crawl-thing/person QUOT 4.A= say/tell thing/person TOP exactly god master be.heavy thing/person COP Q even Q EVEN 4.a= say/tell but,"It is said that a creature called dog has highly respectable parents,",⽝というものはそれこそ親⽅がえらいものだというのに、,,
2.205,K7708242UP,ene an wen puri kor,like.this exist.SG be.bad behavior have,"but you have done bad things.""",このような悪⾏を⾏って」,,
2.206,K7708242UP,"sekor hawean kor kopasrota kor esoyne osura hine,",QUOT voice-POSS-exist.SG and to.APPL-swear and cook =4.S and eat =4.S and,He threw the dog outside while cursing it,と⾔い、ののしりながら外に捨てた。,,
2.207,K7708242UP,"ora asirkinne suy su a= huraye h_ine suke =an h_ine ipe =an h_ine,",then be.new-pile-as again pan 4.A= wash-TR.SG and cook =4.S and eat =4.S and,"I washed the pan again, prepared dinner again and ate",そこで私はあらためて鍋を洗い、料理を作って⾷事した。,,
2.208,K7708242UP,"ora hotke =an pa ruwe ne,",then sleep =4.S PL INFR.EV COP,"When we both went to sleep,",そしてふたりとも寝ると、,,
2.209,K7708242UP,"h_ine wentarap =an akusu,",and have.a.dream =4.S then,I had a dream,夢を⾒た。,,
2.210.,K7708242UP,ponpon okere hine iruska wa an h_ine ene hawean h_i,small-small finish and APASS-be.angry.with.sth and exist.SG and like.this voice-POSS-exist.SG thing/place/time,(The red dog man) was very small and angrily said this to me,（⾚⽝の男は）とても⼩さくなって、腹を⽴てながら、こう⾔った。,,
2.211,K7708242UP,tan pon menoko e= ne wa itak =an ciki e= nu katu anak [ene an h_i].,this be.small wmoan 2SG.A= COP and speak =4.S if 2SG.A= hear shape-POSS TOP like.this exist.SG thing/place/time,"“Young girl, listen well to what I have to say",「娘よ、私の⾔うことをよく聞け。,,
2.212,K7708242UP,oyaciki kamuy resu wa,indeed god raise-TR.SG and,"As I thought, you have been raised by kamui,",思うに、お前はカムイに育てられて、,,
2.213,K7708242UP,"ohasir_ ta ciwente kotan or_ ta an pe e= ne aan h_ine,",empty-ground at RES-bad-CAUS village place at exist.SG thing/person 2SG.A= COP ADM and,and you are living in this unpopular barren village,⼈気のないこの荒れ果てた村で暮らしていたのだ。,,
2.214,K7708242UP,"ora Yupet emko kor_ nispa pon matnepo a= kateomare wa kusu,",then Yupet upper have rich.man be.small woman-COP-child 4.A= be.fond.of and because,I fell in love with a girl living in a village upstream of Yupet,私はユペッ上流の村の下の娘にほれてたので、,,
2.215,K7708242UP,"neun a= ye yakka a= sinniwkeste a= ruska kusu a= rayke hine,",how 4.A= say/tell although 4.A= appearance-be.unable.of-CAUS 4.A= get.angry.with because 4.A= die-CAUS and,"I tried to say many things but I could not make it work, so I got angry and killed her and",⾊々⾔ったのだが、どうにもできないことに腹が⽴ったので殺して、,,
2.216,K7708242UP,"samam ni corpok a= omare ruwe ne a p,",fall.sideways tree under 4.A= enter-CAUS INFR.EV COP PERF.SG but,hid her body under a fallen tree,倒⽊の下に隠したのだ。,,
2.217,K7708242UP,orano seta utar eramuoka,then dof PL know.PL,"The dogs found out,",それを⽝どもにかぎつけられて、,,
2.218,K7708242UP,"orano i= ka ta ukoyki pa, i= wenkoykikar pa wa,",then 4.O= top at REC-attack PL 4.O= bad-attack-make? PL and,"attacked me and hurt me badly,",襲いかかられ、ひどく痛めつけられて、,,
2.219,K7708242UP,"an ka a= eaykap kusu,",exist.SG even 4.A= about.APPL-be.unable because,so I could not stay there any longer,そこにいることができなくなった。,,
2.220.,K7708242UP,inkar =an akus e= an ruwe a= nukar h_i kusu,look =4.S then 2SG.S= exist.SG NMLZ 4.A= see NMLZ because,When I looked around I saw you,ふと⾒ると、お前がいたのが⾒えた。,,
2.221,K7708242UP,e= poro a= e= porore yak ora mat ne a= e= kor_ rusuy kusu,2SG.S= be.big/old 4.A= 2.SG.O= big-CAUS if then woman/wife as 4.A= 2SG.O have DESID because,I raised you and thought I wanted to marry you so,お前を育てて、妻にしたいと思ったので、,,
2.222,K7708242UP,e= or_ ta an =an wa re pa ka e= ka a= oyki kor oka =an ayne,2SG.(O)= place at exist.SG =4.S and three year even 2SG.O= top 4.A= at.APPL-APASS-do and exist.PL =4.S finally,for three years since I came here I have taken care of you,お前のところに来て３年の間、お前を世話して暮らしてきた。,,
2.223,K7708242UP,"tane e= poro ruwe ne yakun,",already 2SG.S= be.big/old INFR.EV COP if/then,"Now that you have grown up,",そしてもうお前も⼗分⼤⼈になったので、,,
2.224,K7708242UP,"mat ne a= e= kor easkay kunak a= ramu kusu,",woman/wife as 4.A= 2SG.O= have about.APPL-be.able going/expected/should.COMP 4.A= think because,I thought that I would take you as my wife,もう妻に迎えることができるだろうと思って、,,
2.225,K7708242UP,"mat ne a= e= kor kuni a= e= ye korka,",woman/wife as 4.A= 2SG.O= have should/going/surely.COMP 4.A= 2SG.O= say/tell but,"I told you that I wanted to marry you,",妻になってほしいとお前に⾔ったのだが、,,
2.226,K7708242UP,nen ka a= e= kar h_ene ki ka somo ki no,what even 4.A= 2SG.O= make for.example do even NEG do and,"but before I could do anything,",何もできないでいるうちに、,,
2.227,K7708242UP,"e= nina kusu, e= ekimne akus",2SG.S= gather.firewood for 2SG.S= 2SG.S= go.to.the.mountains then,you went to the mountains to get firewood,お前は薪を採りに⼭へ⾏ってしまった。,,
2.228,K7708242UP,"sorekusu kamuy i= koypak pe ne kusu,",exactly god 4.O= to.APPL-punish NMLZ COP because,"Surely this is kamui’s punishment,",それこそカムイの罰があたったので、,,
2.229,K7708242UP,seta a= ne p ne kus,dog 4.A= COP NMLZ COP because,but because I am a dog,私は⽝であるから、,,
2.230.,K7708242UP,"e= ekari arpa =an wa a= e= sinetopanukare? ruwe ne hine,",2SG.O= toward go.SG =4.S and 4.A= 2.SG.O=,I went near you and tried to play with you [lit. ‘showed you games/tricks’],（⽝になって）お前のほうに⾏ってじゃれつくのを、お前に⾒せたのだが、,,
2.231,K7708242UP,e= eoaysitoma yakka e= eoaysitoma katun ka e=,2SG.A= about.APPL-be.very.scared although 2SG.A= about.APPL-be.very.scared shape-belong.to even 2SG.A= -- NEG 2SG.A= do INFR.EV COP,"Even though you were afraid, you did not show it",お前はおそろしく思ってもおそろしい様⼦も⾒せずにいた。,,
2.232,K7708242UP,kamuy e= resu sorekusu kamuy resu p e= ne p ne kusu ki ruwe ne aan,god 2SG.O= raise-TR.SG exactly god raise-TR.SG thing/person 2SG.A= COP NMLZ COP because do INFR.EV COP ADM,"If you had been raised by kamui, you would have done that",お前がカムイに育てられたものであればこそ、そうしたのだ。,,
2.233,K7708242UP,"ora taan Yupet emko kor okkaypo anakne kamuy sasimi ne,",then this Yupet upper have man-DIM TOP god descendant COP,The young man from Yubestu Upstream is an offspring of kamui,そして、このユペッ上流の若者はカムイの⼦孫だ。,,
2.234,K7708242UP,"eani ka kamuy sasimi eci= ne wa eci= ukor ATARIMAE ne wa siran wa kusu,",2SG even god descendant 2PL.A= COP and 2PL.S= REC-have natural COP and appearance-exist.SG and because,"You are also an offspring of kamui, so naturally you are two who should become man and wife",お前もカムイの⼦孫であり、お前たちは夫婦になるはずの者同⼠だ。,,
2.235,K7708242UP,"ikayop takup se kane wa numan ek h_ine,",quiver only shoulder doing.so and yesterday come.SG and,That is why he came last night holding just an arrow holder,だからゆうべ⽮筒だけを背負ってやってきて、,,
2.236,K7708242UP,oyaciki nuynak wa an aan pe ya ka a= eramiskari no,indeed hide-INTR and exist.SG ADM thing/person Q even 4.A= not.know and,"I probably did not see him hiding,",おそらく彼が隠れていたのを私は気がつかなくて、,,
2.237,K7708242UP,"a= i= rayke ruwe ne korka,",4.A= 4.O= die-CAUS INFR.EV COP but,and thus was killed,殺されてしまったのだろうが、,,
2.238,K7708242UP,"wenno eci= i= kar yakka neun nani eci= pirka ka somo ki p ne kus,",be.bad-ADV 2PL.A= 4.O= do although how immediately 2PL.S= be.good even NEG do NMLZ COP because,"But even if you punish me, nothing good will come of it",私にお仕置きをしてもお前たちには何もいいことはないぞ。,,
2.239,K7708242UP,cananno poka seta oyakata eun arpa =an kuni eci= i= hopunpare wa eci= *ko,poor-ADV only dog master there.at/to go.SG =4.S in.order 2PL.A= 4.O= bottom.PF-lift-TR.PL-CAUS and 2PL.A= -- -- have-CAUSE if,"If you can kind of send me off to my dog master ,",いいかげんにでもいいから、⽝の親⽅のところへ私が⾏けるように送ってくれたなら、,,
2.240.,K7708242UP,ora eci= sama a= epunkine yakne,then 2PL.O= near-POSS 4.A= about.APPL-guard-COP then,"I will protect you. Then,",お前たちを守ってやるぞ。そうすれば,,
2.241,K7708242UP,"eci= sitoma ka nep eci= kor_ rusuy ka somo ki no,",2PL.A= be.afraid.of even what 2PL.A= have DESID even NEG do and,"you will no longer be afraid of anything, and you will not want anything",何を恐れることもなく、何を欲しいとも思わなくなる。,,
2.242,K7708242UP,ora tane Iskar emkoho supuya sak h_i,then now iskar upper-POSS smoke lack thing/place/time,"Now there is no smoke [there is no one living] upstream from Iskar,",そして、今はイｼカﾗ上流には煙もない（⼈が住んでいない）が、,,
2.243,K7708242UP,"Yupet emko kor_ nispa pak kewtum pirka nispa isam pe ne kusu,",Yupet upper have rich.man till spirit be.good rich.man not.exist NMLZ COP because,"but the elder at Yupet Upstream has a very good spirit,",ユペッ上流の⻑者はとても精神のよい⻑者なので、,,
2.244,K7708242UP,"supuya sak yak wen sekor hawean kor_,",smoke lack if be.bad QUOT voice-POSS-exist.SG when/if,"so when he says that it is not good that there is no smoke,",煙のないのはいかんと⾔うことで、,,
2.245,K7708242UP,te ta kotan eci= kar wa eci= oka h_ine,here at village 2PL.A= make and 2PL.S= exist.PL and,you will build there a village and live,ここにお前たちが村を作って住むことになるだろう。,,
2.246,K7708242UP,"asir aynu patek oka yakun,",new human only exist.PL if/then,If new people come to live,新しい住⺠ばかりが住むことになれば、,,
2.247,K7708242UP,*o inne kotan eci= ne yakka sorekusu kamuy or un,-- -- be.numerous village 2PL.A= COP although exactly god place to/at --,it will become a large village,⼤きな村になったとして、,,
2.248,K7708242UP,eci= sama a= epunkine p ne ruwe ne na,2PL.O= near-POSS 4.A= about.APPL-NI.gaurd-COP NMLZ COP INFR.EV COP SGST,and I will protect you,私がお前たちを守ってやるからな。,,
2.249,K7708242UP,neno eci= iki wa eci= i= kore p ne na,as 2PL.S= APASS-do and 2PL.A= 4.O have-CAUS NMLZ COP SGST,"Please do me a favor [send me to the dog father] like this.""",そのように（私を⽝の親⽅のところへ送るように）してくれよ」,,
2.250.,K7708242UP,"sekor wentarap =an ruwe ne a p,",QUOT have.a.dream =4.S INFR.EV COP PERF.SG but,I dreamt,という夢を⾒たところ、,,
2.251,K7708242UP,"nea okkaypo ka neno wentarap yak ye kor,",that man-DIM even same.as have.a.dream COMP say/tell when/if,The young man said that he saw the same dream,例の若者も同じ夢を⾒たという。,,
2.252,K7708242UP,ora tori hine oraun,then stay and then,"After one night,",そして⼀晩たつと、,,
2.253,K7708242UP,arpa =an a= ona eun a= ye ora ek =an pe ne.,go.SG =4.S 4.(A)= father.POSS there.at/to 4.A= say/tell then come.SG =4.S NMLZ COP,"“I will go talk to my father and come back."",",「⾏って、私の⽗に話をしてから戻ってくる」,,
2.254,K7708242UP,sekor hawean kor arpa wa isam ruwe ne,QUOT voice-POSS-exist.SG when/if go.SG and not.exist INFR.EV COP,"he said, and off he went",と⾔って、⾏ってしまった。,,
2.255,K7708242UP,"sorekus, rik un kakenca ranke kakenca erewewse kane,",exactly upper.place to/at clothes.hanger lower clothes.hanger head.POSS.PF-bend-bend-INTR doing.so,"With so many clothes that the upper clothes hanger and lower clothes hanger sagged,",上の掛け竿、下の掛け竿がたわむほど（着物がかかっており）、,,
2.256,K7708242UP,ineapkusun a= onaha ne yakka nispa ne p ne aan wa siran y_a ka a= eramiskari,EXCL 4.(A)= father-POSS COP although rich.man COP NMLZ COP ADM and appearance-exist.SG Q even 4.A= not.know,I somehow realized that my father was a great elder with no equals,私の⽗はまあ何という⻑者であったのかわからないほどであったことに気づく。,,
2.257,K7708242UP,"a= unu ne yakka sino katkemat ne a ruwe ne noyne siran pe ne kusu,",4.(A)= mother.POSS COP although true wife COP PERF.SG INFR.EV COP look.as appearance-exist.SG NMLZ COP because,"My mother was also a fine lady,",⺟も⽴派な婦⼈だったらしいので、,,
2.258,K7708242UP,nep ka a= kar ka erampewtek,what even 4.A= do even not.know,"and even though I didn’t know how to do anything,",私は何のやり⽅もしらないものだが、,,
2.259,K7708242UP,"nen i= epakasnu apekor kemeyki ne ya nep ne ya,",who 4.O= about.APPL-teach.to as.if NI.needle-with.APPL-APASS-do COP Q what COP Q,[I was able] to sew and do other things just like someone else once taught me,誰かが教えてくれたかのように、縫い物でもなんでも、,,
2.260.,K7708242UP,"ineapkusun a= easkay wa iki =an y_a ka a= eramiskari kor an pe a= ne p ne kusu,",EXCL 4.A= about.APPL-be.able and APASS-do =4.S Q even 4.A= not.know and exist.SG thing/person 4.A= COP NMLZ COP because,I was able to do very well,とても上⼿にできるものであった。,,
2.261,K7708242UP,"ora nea okkaypo arpa hine isam ruwe ne akusu,",then that man-DIM go.SG and not.exist INFR.EV COP then,"Once the young man left,",そして、例の若者はいったん⾏ってしまうと、,,
2.262,K7708242UP,tutko rerko ne kor poro yupihi saha ne yak ki p tura wa ek,two.days three.days COP when/if be.big/old older.brother-POSS older.sister-POSS COP COMP do thing/person go.together.with and come.SG,he came back several days later with people he introduced as his older brother and sister,⼆三⽇して上の兄と姉という⼈を連れてきて、,,
2.263,K7708242UP,"orano sorekusu i= kewehomsu pa kor ki ruwe ne h_ine,",then exactly 4.O= do.an.exorcism.ritual.for PL and do INFR.EV COP and,They held a ceremony to pray for my safe being and rid me of any demons,私の無事を祝い魔を払う儀礼を⾏ってくれた。,,
2.264,K7708242UP,"ora moyono aynu tura wa arki pa hine kotan kar pa hine,",then few-ADV human go.together.with and come.PL PL and village make PL and ,"They brought a few people, and we made village and",それからわずかばかりの⼈を連れてやってきて村を作り、,,
2.265,K7708242UP,oro ta oka =an ruwe ne,place-POSS at exist.PL =4.S INFR.EV COP,lived there,そこに私たちは暮らすことになった。,,
2.266,K7708242UP,nep a= e rusuy nep a= kor_ rusuy somo ki no oka =an,what 4.A= eat DESID what 4.A= have DESID NEG do and exist.PL =4.S,"After that, we led a life where we did not wish for food or things",それからというもの、何を⾷べたいとも欲しいとも思わない⽣活を送れるようになった。,,
2.267,K7708242UP,orano easir ki,then truely do,At last we led such a life,やっとそういう⽣活になった。,,
2.268,K7708242UP,"ora nea seta anakne cananno poka a= hopunire kunak ye p ne kusu,",then that dog TOP poor-ADV only 4.A= bottom.PF-lift-TR.SG-CAUS going/expected/should.COMP say/tell NMLZ COP because,that dog said he wanted us to send him in any manner,あの⽝は、適当でもいいから送ってくれと⾔っていたので、,,
2.269,K7708242UP,"seta oyakata eun arpare kuni yere a sinne noyne,",dog master there.at/to go.SG-CAUS should/going/surely.COMP say.sth/to.sb-CAUS PERF.SG appearance-COP look.as,My husband instructed the dog to go to the dog master,夫が⽝の親⽅のところへ⾏けるように指⽰したらしく、,,
2.270.,K7708242UP,inawke a inawke a hine inaw kor ene haw turano hopunire hine orano okake ta oka =an,inaw-whittle PERF.SG inaw-whittle PERF.SG and inaw hav like.this coice together.with-ADV bottom.PF-lift-TR.SG-CAUS and then end/behind-place at exist.PL =4.S,We cut many inaw‐willow sticks and sent him off with prayers,イナウをたくさん削って、お祈りをして送った。,,
2.271,K7708242UP,nep a= e rusuy nep a= kor_ rusuy somo ki no oka =an,what 4.A= eat DESID what 4.A= have DESID NEG do and exist.PL =4.S,"After that, we continued living without wishing for food",それからは、何を⾷べたいとも欲しいとも思わずに暮らしていたが、,,
2.272,K7708242UP,"rapokke ar suy ne poka ne a= siwtoutari oro ta arpa =an wa inkar =an rusuy kusu,",during=place one/half times COP only this/that 4.(A)= one's.in.laws-PL-POSS place-POSS at go.SG =4.S and look =4.S DESID because,"Just once though, I wanted to go to my parents‐in law’s place",その間⼀度だけでもお舅さんのところへ⾏ってみたいと思って，,,
2.273,K7708242UP,"ne a= hekote nispa a= siren h_ine,",this/that 4.A= be.married.to rich.man 4.A= go.together.with and,I went together with my husband,旦那と⼀緒に ⾏った。,,
2.274,K7708242UP,"posak =an h_ine,",child-lack =4.S and,"Since we did not have children,",⼦どももいないので、,,
2.275,K7708242UP,"arpa =an rusuy pe ne kusu a= tura hine arpa =an h_ine,",go.SG =4.S DESID NMLZ COP because 4.A= go.together.with and go.Sg =4.S and,"I wanted to go together with my husband, so I followed him",⾏きたいと思ったので、⼀緒に⾏った。,,
2.276,K7708242UP,orano Yupet emko kor_ nispa sorekus i= tamkasure i= tamtespare kor,then Yupet upper have rich.man exactly 4.O= NI.sword-surpass-TR.SG-CAUS 4.O= NI.sword-warp-TR.PL-CAUS and,"The Yupet Upstream elder pointed a sword at us, and swinging the sword,",すると、ユペッ上流の⻑者はそれこそ⼑を突き出し、⼑をそらせて、,,
2.277,K7708242UP,i= kewehomsu ruwe ne,4.O= do.an.exorcism.ritual.for INFR.EV COP,carried out a demon exorcising ceremony,魔払いの儀式を⾏ってくれた。,,
2.278,K7708242UP,"a= kor nispa kotanuhu pa oyan yak a= ye yakun,",4.A= have rich.man village-POSS epidemic at.APPL-land-INTR.SG COMP 4.A= say/tell if/then,"“It was said that our elder’s village (at Iskar Upstream) was plagued by disease,",「（イｼカﾗ上流の）わが⻑者殿の村を流⾏病が襲ったという話なので、,,
2.279,K7708242UP,"nep ka isam ruwe ne kunak a= ramu wa kusu,",what even not.exist INFR.EV COP going/expected should.COMP 4.A= think and because,so I thought that no one was alive,もはや誰も残っていないだろうと思っていたのだが、,,
2.280.,K7708242UP,"a= kor katkemat kamuy resu wa an aan wa,",4.A= have wife god raise-TR.SG and exist.SG ADM and,Kamui‐gods must have raised our daughter‐in law,わが嫁殿をカムイが育ててくれていたのだなあ。,,
2.281,K7708242UP,"kamuy renkayne a= poho arpa wa ne ruwe ne yakun,",god depending 4.(A)= child-POSS go.SG and this/that INFR.EV COP if/then,"Thanks to kamui‐gods our son went [there], so",カムイのお導きで息⼦がそこへ⾏ったということであるのなら、,,
2.282,K7708242UP,a= utarihi nimari Iskar emko a= payere rusuy kusu,4.(A)= kin/people-POSS half-POSS iskar upper 4.A= go.PL-CLAUS DESID because,I thought I would send half of our village to Iskar Upstream,わが村⼈の半分をイｼカﾗ上流に⾏かせたく思い、,,
2.283,K7708242UP,"paye wa uekotanne pa ruwe ne kusu,",go.PL and REC-with.APPL-NI.village-COP PL INFR.EV COP because,"Since they went and are now part of our village,",彼らが⾏ってお互い同じ村⼈となったのだから、,,
2.284,K7708242UP,apunno oka =an yak pirka,blandly exist.PL =4.S if be.good,"please live together in peace.""",幸せに暮らすのだよ」,,
2.285,K7708242UP,sekor Yupet emko kor_ nispa hawean h_ine,QUOT Yupet upper have rich.man voice-POSS-exist.SG and,the Yupet Upstream elder told us,と、ユペッ上流の⻑者に⾔われ、,,
2.286,K7708242UP,orano hosippa =an orano oka =an orano oka =an,then return.PL =4.S then exist.PL =4.S then exist.PL =4.S,We went back to the village to continue our lives,私たちは村に戻って暮らしていた。,,
2.287,K7708242UP,sorekusu kotan kor,exactly village have --,Even when,それこそ、,,
